# 학교명,구·군,개편 전 구·군,계열,설립,남녀   (출처: _2026_4_1_자_학교_현황__최종_.xlsx 고등학교 시트 · 구·군 기준: 개편후)
# fetch_ice_curriculum.py 는 앞의 두 칸(학교명,구·군)만 읽습니다. sync_school_list.py 로 다시 만들 수 있어요.
인천대중예술고등학교,미추홀구,미추홀구,특성화,공립,공학
인천비즈니스고등학교,미추홀구,미추홀구,특성화,공립,여
인천소방고등학교,미추홀구,미추홀구,특성화,공립,공학
인천전자마이스터고등학교,미추홀구,미추홀구,특목,공립,공학
인하대학교사범대학부속고등학교,미추홀구,미추홀구,일반,사립,남
인항고등학교,미추홀구,미추홀구,일반,사립,남
인화여자고등학교,미추홀구,미추홀구,일반,공립,여
정석항공과학고등학교,미추홀구,미추홀구,특성화,사립,공학
학익고등학교,미추홀구,미추홀구,일반,공립,남
학익여자고등학교,미추홀구,미추홀구,일반,공립,여
명신여자고등학교,부평구,부평구,일반,사립,여
부개고등학교,부평구,부평구,일반,공립,공학
부개여자고등학교,부평구,부평구,일반,공립,여
부광고등학교,부평구,부평구,일반,공립,남
부광여자고등학교,부평구,부평구,일반,공립,여
부평고등학교,부평구,부평구,일반,공립,남
부평공업고등학교,부평구,부평구,특성화,공립,남
부평여자고등학교,부평구,부평구,일반,공립,여
삼산고등학교,부평구,부평구,일반,공립,공학
세일고등학교,부평구,부평구,일반,사립,남
인천미래생활고등학교,부평구,부평구,특성화,공립,여
인천부흥고등학교,부평구,부평구,일반,공립,공학
인천산곡고등학교,부평구,부평구,일반,공립,공학
인천상정고등학교,부평구,부평구,일반,공립,남
인천영선고등학교,부평구,부평구,일반,공립,공학
인천외국어고등학교,부평구,부평구,특목,사립,공학
인천진산과학고등학교,부평구,부평구,특목,공립,공학
인평자동차고등학교,부평구,부평구,특성화,사립,남
제일고등학교,부평구,부평구,일반,사립,남
가림고등학교,서해구,서구,일반,공립,공학
가정고등학교,서해구,서구,일반,공립,공학
가좌고등학교,서해구,서구,일반,공립,공학
대인고등학교,서해구,서구,일반,사립,남
서인천고등학교,서해구,서구,일반,사립,공학
인천디자인고등학교,서해구,서구,특성화,공립,공학
인천보건고등학교,서해구,서구,특성화,사립,공학
인천신현고등학교,서해구,서구,일반,공립,여
인천청라고등학교,서해구,서구,일반,공립,남
인천체육고등학교,서해구,서구,특목,공립,공학
인천초은고등학교,서해구,서구,일반,공립,여
인천해원고등학교,서해구,서구,일반,공립,공학
박문여자고등학교,연수구,연수구,일반,사립,여
송도고등학교,연수구,연수구,일반,사립,남
신송고등학교,연수구,연수구,일반,공립,남
연수고등학교,연수구,연수구,일반,공립,남
연수여자고등학교,연수구,연수구,일반,공립,여
옥련여자고등학교,연수구,연수구,일반,공립,여
인천과학예술영재학교,연수구,연수구,특목,공립,공학
인천대건고등학교,연수구,연수구,일반,사립,남
인천바이오과학고등학교,연수구,연수구,특성화,공립,공학
인천뷰티예술고등학교,연수구,연수구,특성화,공립,여
인천생활과학고등학교,연수구,연수구,특성화,공립,공학
인천여자고등학교,연수구,연수구,일반,공립,여
인천연송고등학교,연수구,연수구,일반,공립,남
인천포스코고등학교,연수구,연수구,자율형,사립,공학
인천해송고등학교,연수구,연수구,일반,공립,여
인천해양과학고등학교,연수구,연수구,특성화,공립,남
영종국제물류고등학교,영종구,중구,특성화,공립,공학
인천공항고등학교,영종구,중구,일반,공립,공학
인천과학고등학교,영종구,중구,특목,공립,공학
인천국제고등학교,영종구,중구,특목,공립,공학
인천영종고등학교,영종구,중구,일반,공립,공학
인천운남고등학교,영종구,중구,일반,공립,공학
인천중산고등학교,영종구,중구,일반,공립,공학
인천하늘고등학교,영종구,중구,자율형,사립,공학
대청고등학교,옹진군,옹진군,일반,공립,공학
